,Timestamp,Activity,Scope,Name,Reason,Type,Source RSE,Destination RSE,Duration,Bytes,FTS Link,Source URL,Destination URL,Protocol,File size,data._id,data._version,data.created_at,data.dataset,data.datasetScope,data.datatype,data.did_type,data.event_timestamp,data.remote_access,data.rse_id,highlight,metadata._id,metadata._version,sort,did,temp,webui_link,webui_checksum
0,"02/23/2024, 03:05:49 PM",Production Input,mc16_13TeV,AOD.14795494._002873.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (a4a19f50 != b73b0c87),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,20.0 s,6.80 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/f2364d4c-d25c-11ee-ad44-fa163ec3b00c,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002873.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/mc16_13TeV/74/b0/AOD.14795494._002873.pool.root.1,davs,6802606673,-1013366079-1708700749000,1708700762,1708700707000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708700749000,True,UNKNOWN,0,-1013366079-1708700749000,1708700762,"1708700749000, 8485780",mc16_13TeV:AOD.14795494._002873.pool.root.1,mc16_13TeV&name=AOD.14795494._002873.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002873.pool.root.1,a4a19f50
1,"02/23/2024, 03:05:34 PM",Production Input,mc16_13TeV,AOD.14795494._002826.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (2c97bdfc != 931d9139),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,17.0 s,6.80 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/c6742846-d25c-11ee-84c4-fa163ec3b00c,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002826.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/mc16_13TeV/13/c7/AOD.14795494._002826.pool.root.1,davs,6795744484,1995227053-1708700734000,1708700745,1708700634000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708700734000,True,UNKNOWN,0,1995227053-1708700734000,1708700745,"1708700734000, 8489305",mc16_13TeV:AOD.14795494._002826.pool.root.1,mc16_13TeV&name=AOD.14795494._002826.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002826.pool.root.1,2c97bdfc
3,"02/23/2024, 02:55:57 PM",Production Input,mc16_13TeV,AOD.14795494._002817.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (5789fb9d != 93be999d),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,27.0 s,6.80 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/75a0503a-d25b-11ee-8014-fa163e9896b6,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002817.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/mc16_13TeV/8f/7a/AOD.14795494._002817.pool.root.1,davs,6798682671,-1167833421-1708700157000,1708700170,1708700070000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708700157000,True,UNKNOWN,0,-1167833421-1708700157000,1708700170,"1708700157000, 8391313",mc16_13TeV:AOD.14795494._002817.pool.root.1,mc16_13TeV&name=AOD.14795494._002817.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002817.pool.root.1,
4,"02/23/2024, 02:48:45 PM",Production Input,mc16_13TeV,AOD.14795494._002824.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (7f84beae != f20f6833),transfer-failed,SEAL_TEST,CERN-PROD_DATADISK,18.0 s,6.78 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/8cc5f2b6-d25a-11ee-aa13-fa163e9896b6,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002824.pool.root.1?copy_mode=pull,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/mc16_13TeV/29/61/AOD.14795494._002824.pool.root.1,davs,6776785741,-2115710314-1708699725000,1708699815,1708699678000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708699725000,True,UNKNOWN,0,-2115710314-1708699725000,1708699815,"1708699725000, 7277814",mc16_13TeV:AOD.14795494._002824.pool.root.1,mc16_13TeV&name=AOD.14795494._002824.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002824.pool.root.1,
6,"02/23/2024, 02:08:33 PM",Production Input,mc16_13TeV,AOD.14795494._002802.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (ce6308d3 != c98c2f4c),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,5.9 min,6.79 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/fa80b18a-d253-11ee-99d6-fa163e52bca9,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002802.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/mc16_13TeV/3f/ca/AOD.14795494._002802.pool.root.1,davs,6788327440,-179368235-1708697313000,1708697391,1708696847000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708697313000,True,UNKNOWN,0,-179368235-1708697313000,1708697391,"1708697313000, 6846036",mc16_13TeV:AOD.14795494._002802.pool.root.1,mc16_13TeV&name=AOD.14795494._002802.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002802.pool.root.1,
7,"02/23/2024, 01:54:17 PM",Production Input,mc16_13TeV,AOD.14795494._002876.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (b68c398d != b7b83977),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,4.7 min,6.79 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/4e2a2b10-d252-11ee-822c-fa163e2cda95,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002876.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/mc16_13TeV/3c/02/AOD.14795494._002876.pool.root.1,davs,6786582515,725763974-1708696457000,1708696472,1708696136000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708696457000,True,UNKNOWN,0,725763974-1708696457000,1708696472,"1708696457000, 6766998",mc16_13TeV:AOD.14795494._002876.pool.root.1,mc16_13TeV&name=AOD.14795494._002876.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002876.pool.root.1,
8,"02/23/2024, 01:37:11 PM",Production Input,mc16_13TeV,AOD.14795494._002402.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (b1286601 != 940de7dc),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,8.8 min,6.83 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/5004d8d4-d24f-11ee-a9cb-fa163ec3b00c,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002402.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/mc16_13TeV/de/53/AOD.14795494._002402.pool.root.1,davs,6829223343,-528536696-1708695431000,1708695443,1708694856000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708695431000,True,UNKNOWN,0,-528536696-1708695431000,1708695443,"1708695431000, 6198588",mc16_13TeV:AOD.14795494._002402.pool.root.1,mc16_13TeV&name=AOD.14795494._002402.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002402.pool.root.1,
9,"02/23/2024, 01:13:32 PM",Production Input,mc16_13TeV,AOD.14795494._002845.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (49cb71d2 != e1d77dca),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,9.5 min,6.82 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/f2d82f7e-d24b-11ee-aa7a-fa163e52bca9,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002845.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/mc16_13TeV/5e/63/AOD.14795494._002845.pool.root.1,davs,6817757328,1978289746-1708694012000,1708694021,1708693412000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708694012000,True,UNKNOWN,0,1978289746-1708694012000,1708694021,"1708694012000, 7552569",mc16_13TeV:AOD.14795494._002845.pool.root.1,mc16_13TeV&name=AOD.14795494._002845.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002845.pool.root.1,
10,"02/23/2024, 01:06:50 PM",Production Input,mc16_13TeV,AOD.14795494._002720.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (22d3db64 != 8e89f7e5),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,8.7 min,6.84 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/19aa65e6-d24b-11ee-aedc-fa163e017123,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002720.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/mc16_13TeV/b4/33/AOD.14795494._002720.pool.root.1,davs,6836078652,1173479721-1708693610000,1708693634,1708693042000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708693610000,True,UNKNOWN,0,1173479721-1708693610000,1708693634,"1708693610000, 8109598",mc16_13TeV:AOD.14795494._002720.pool.root.1,mc16_13TeV&name=AOD.14795494._002720.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002720.pool.root.1,
11,"02/23/2024, 12:55:11 PM",Production Input,mc16_13TeV,AOD.14795494._002683.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (dd28d068 != 8f620589),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,13.7 min,6.84 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/a4b51cce-d248-11ee-b5f0-fa163e087e6b,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002683.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/mc16_13TeV/70/38/AOD.14795494._002683.pool.root.1,davs,6837214358,-203746787-1708692911000,1708692922,1708691991000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708692911000,True,UNKNOWN,0,-203746787-1708692911000,1708692922,"1708692911000, 7867495",mc16_13TeV:AOD.14795494._002683.pool.root.1,mc16_13TeV&name=AOD.14795494._002683.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002683.pool.root.1,
13,"02/23/2024, 12:47:21 PM",Production Input,mc16_13TeV,AOD.14795494._002359.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (817fcb84 != 38f70b04),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,6.9 min,6.80 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/b20bf8d4-d248-11ee-bc5f-fa163ea7ee69,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002359.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/mc16_13TeV/c6/e0/AOD.14795494._002359.pool.root.1,davs,6797321398,-1125874748-1708692441000,1708692454,1708692005000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708692441000,True,UNKNOWN,0,-1125874748-1708692441000,1708692454,"1708692441000, 7924519",mc16_13TeV:AOD.14795494._002359.pool.root.1,mc16_13TeV&name=AOD.14795494._002359.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002359.pool.root.1,
16,"02/23/2024, 12:26:28 PM",Production Input,mc16_13TeV,AOD.14795494._002691.pool.root.1,DESTINATION CHECKSUM MISMATCH User-defined and destination ADLER32 do not match (f635398b != efc0f089),transfer-failed,SEAL_TEST,BNL-OSG2_DATADISK,5.2 min,6.82 GB,https://fts3-atlas.cern.ch:8449/fts3/ftsmon/#/job/ea96ed88-d245-11ee-b5f0-fa163e087e6b,s3s://atlas-seal-cloud.cern.ch:443/rucio/mc16_13TeV/AOD.14795494._002691.pool.root.1?copy_mode=pull,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/mc16_13TeV/ab/9e/AOD.14795494._002691.pool.root.1,davs,6816681162,2018770871-1708691188000,1708691200,1708690822000,UNKNOWN,UNKNOWN,AOD,UNKNOWN,1708691188000,True,UNKNOWN,0,2018770871-1708691188000,1708691200,"1708691188000, 5900106",mc16_13TeV:AOD.14795494._002691.pool.root.1,mc16_13TeV&name=AOD.14795494._002691.pool.root.1,https://rucio-ui.cern.ch/did?scope=mc16_13TeV&name=AOD.14795494._002691.pool.root.1,
