,Unnamed: 0_x,Timestamp,Scope_x,Name_x,Source URL,Destination RSE,Destination URL,Rucio_Checksum,Destination_Checksum_x,Unnamed: 0_y,Name_y,Path,Size,Seal_Checksum,Destination_Checksum_y,status
252,343,"02/20/2024, 12:58:45 PM",data16_13TeV,DAOD_RPVLL.21711783._000015.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.21711783._000015.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/8b/2a/DAOD_RPVLL.21711783._000015.pool.root.1,02775bbc,d0bf6eaf,343,/rucio/data16_13TeV/DAOD_RPVLL.21711783._000015.pool.root.1,8491024658,8.491GB,02775bbc,d0bf6eaf,Transfer Error
444,535,"02/20/2024, 08:23:18 AM",data16_13TeV,DAOD_RPVLL.21711783._000132.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.21711783._000132.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/29/d0/DAOD_RPVLL.21711783._000132.pool.root.1,b4ff5e69,f0cd34b5,535,/rucio/data16_13TeV/DAOD_RPVLL.21711783._000132.pool.root.1,10417220950,10.42GB,b4ff5e69,f0cd34b5,Transfer Error
190,280,"02/20/2024, 02:29:40 PM",data16_13TeV,DAOD_RPVLL.21711783._000426.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.21711783._000426.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/2b/b1/DAOD_RPVLL.21711783._000426.pool.root.1,88f790b2,e68b726c,280,/rucio/data16_13TeV/DAOD_RPVLL.21711783._000426.pool.root.1,8137593665,8.138GB,88f790b2,e68b726c,Transfer Error
147,237,"02/20/2024, 03:40:47 PM",data16_13TeV,DAOD_RPVLL.21711783._000450.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.21711783._000450.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/7e/de/DAOD_RPVLL.21711783._000450.pool.root.1,a543bd2a,629f1d58,237,/rucio/data16_13TeV/DAOD_RPVLL.21711783._000450.pool.root.1,8343238571,8.343GB,a543bd2a,629f1d58,Transfer Error
115,205,"02/20/2024, 04:32:52 PM",data16_13TeV,DAOD_RPVLL.22357261._000018.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357261._000018.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/69/ac/DAOD_RPVLL.22357261._000018.pool.root.1,72a6fa65,d66273e4,205,/rucio/data16_13TeV/DAOD_RPVLL.22357261._000018.pool.root.1,7627864163,7.628GB,72a6fa65,d66273e4,Transfer Error
34,124,"02/20/2024, 05:48:55 PM",data16_13TeV,DAOD_RPVLL.22357270._000011.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357270._000011.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/2d/c1/DAOD_RPVLL.22357270._000011.pool.root.1,f9cd989d,276d7350,124,/rucio/data16_13TeV/DAOD_RPVLL.22357270._000011.pool.root.1,8261587499,8.262GB,f9cd989d,276d7350,Transfer Error
144,234,"02/20/2024, 03:44:47 PM",data16_13TeV,DAOD_RPVLL.22357318._000007.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357318._000007.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/d3/ca/DAOD_RPVLL.22357318._000007.pool.root.1,c5c58cdb,0655a6ce,234,/rucio/data16_13TeV/DAOD_RPVLL.22357318._000007.pool.root.1,10776720148,10.78GB,c5c58cdb,0655a6ce,Transfer Error
66,156,"02/20/2024, 05:22:54 PM",data16_13TeV,DAOD_RPVLL.22357318._000031.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357318._000031.pool.root.1?copy_mode=pull,BNL-OSG2_DATADISK,davs://dcgftp.usatlas.bnl.gov:443/pnfs/usatlas.bnl.gov/BNLT0D1/rucio/data16_13TeV/10/6b/DAOD_RPVLL.22357318._000031.pool.root.1,07e38f73,4b0c7dc1,156,/rucio/data16_13TeV/DAOD_RPVLL.22357318._000031.pool.root.1,9418968998,9.419GB,07e38f73,4b0c7dc1,Transfer Error
460,551,"02/20/2024, 07:46:56 AM",data16_13TeV,DAOD_RPVLL.22357318._000041.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357318._000041.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/7d/7b/DAOD_RPVLL.22357318._000041.pool.root.1,0d4e269a,3257b8f1,551,/rucio/data16_13TeV/DAOD_RPVLL.22357318._000041.pool.root.1,9790010731,9.79GB,0d4e269a,3257b8f1,Transfer Error
259,350,"02/20/2024, 12:45:02 PM",data16_13TeV,DAOD_RPVLL.22357327._000002.pool.root.1,s3s://atlas-seal-cloud.cern.ch:443/rucio/data16_13TeV/DAOD_RPVLL.22357327._000002.pool.root.1?copy_mode=pull,CERN-PROD_DATADISK,davs://eosatlas.cern.ch:443/eos/atlas/atlasdatadisk/rucio/data16_13TeV/79/f8/DAOD_RPVLL.22357327._000002.pool.root.1,22e58bd0,220b22d8,350,/rucio/data16_13TeV/DAOD_RPVLL.22357327._000002.pool.root.1,9277987774,9.278GB,22e58bd0,220b22d8,Transfer Error
